id,Geo Footnote,Geographic Area Name,2017 NAICS code,2017 NAICS Footnote,Meaning of NAICS code,Year,Number of firms,Number of establishments,"Sales, value of shipments, or revenue ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of employees,"Range indicating percent of total sales, value of shipments, or revenue imputed",Range indicating percent of total annual payroll imputed,Range indicating percent of total employees imputed
0400000US18,null,Indiana,44-45,null,Retail trade,2017,12047,21327,102106020,8660066,2121834,336615,Less than 10%,10% to less than 20%,10% to less than 20%
0400000US18,null,Indiana,441,null,Motor vehicle and parts dealers,2017,2004,2818,23316901,1815912,432882,43510,Less than 10%,10% to less than 20%,10% to less than 20%
0400000US18,null,Indiana,442,null,Furniture and home furnishings stores,2017,719,996,1895350,244150,59599,8449,20% to less than 30%,10% to less than 20%,20% to less than 30%
0400000US18,null,Indiana,443,null,Electronics and appliance stores,2017,403,618,1485385,159721,38660,6337,Less than 10%,10% to less than 20%,10% to less than 20%
0400000US18,null,Indiana,444,null,Building material and garden equipment and supplies dealers,2017,1153,1783,8856566,941172,233190,31961,Less than 10%,Less than 10%,Less than 10%
0400000US18,null,Indiana,445,null,Food and beverage stores,2017,1424,2447,11981617,1029835,274732,52350,10% to less than 20%,10% to less than 20%,20% to less than 30%
0400000US18,null,Indiana,446,null,Health and personal care stores,2017,575,1739,6588523,612187,157005,21487,Less than 10%,30% to less than 40%,10% to less than 20%
0400000US18,null,Indiana,447,null,Gasoline stations,2017,1367,2708,12277960,426748,102966,22974,10% to less than 20%,10% to less than 20%,10% to less than 20%
0400000US18,null,Indiana,448,null,Clothing and clothing accessories stores,2017,891,2277,3296284,416308,102711,26526,10% to less than 20%,20% to less than 30%,30% to less than 40%
0400000US18,null,Indiana,451,null,"Sporting goods, hobby, musical instrument, and book stores",2017,664,946,1625951,193698,44154,10662,10% to less than 20%,20% to less than 30%,20% to less than 30%
0400000US18,null,Indiana,452,null,General merchandise stores,2017,118,1340,16899199,1575913,389360,70245,Less than 10%,10% to less than 20%,10% to less than 20%
0400000US18,null,Indiana,453,null,Miscellaneous store retailers,2017,1650,2294,2119089,324140,78845,18137,10% to less than 20%,Less than 10%,Less than 10%
0400000US18,null,Indiana,454,null,Nonstore retailers,2017,1208,1361,11763195,920282,207730,23977,Less than 10%,10% to less than 20%,10% to less than 20%
0400000US18,null,Indiana,4411,null,Automobile dealers,2017,1065,1243,19879273,1331314,315995,27776,Less than 10%,Less than 10%,Less than 10%
0400000US18,null,Indiana,4412,null,Other motor vehicle dealers,2017,300,318,1396912,132570,28083,3338,Less than 10%,Less than 10%,Less than 10%
0400000US18,null,Indiana,4413,null,"Automotive parts, accessories, and tire stores",2017,644,1257,2040716,352028,88804,12396,Less than 10%,10% to less than 20%,20% to less than 30%
0400000US18,null,Indiana,4421,null,Furniture stores,2017,309,476,926389,127516,31979,4041,10% to less than 20%,10% to less than 20%,10% to less than 20%
