"id","Geo Footnote","Geographic Area Name","2017 NAICS code","2017 NAICS Footnote","Meaning of NAICS code","Year","Number of firms","Number of establishments","Sales, value of shipments, or revenue ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)","Number of employees","Range indicating percent of total sales, value of shipments, or revenue imputed","Range indicating percent of total annual payroll imputed","Range indicating percent of total employees imputed"
"0400000US42","null","Pennsylvania","44-45","null","Retail trade","2017","25427","42514","234836340","17354005","4221872","662560","Less than 10%","10% to less than 20%","20% to less than 30%"
"0400000US42","null","Pennsylvania","441","null","Motor vehicle and parts dealers","2017","3455","4796","45990378","3450296","825940","84065","10% to less than 20%","10% to less than 20%","10% to less than 20%"
"0400000US42","null","Pennsylvania","442","null","Furniture and home furnishings stores","2017","1252","1942","3839462","496470","118744","16970","10% to less than 20%","10% to less than 20%","20% to less than 30%"
"0400000US42","null","Pennsylvania","443","null","Electronics and appliance stores","2017","733","1172","2669309","322363","80998","11985","10% to less than 20%","20% to less than 30%","10% to less than 20%"
"0400000US42","null","Pennsylvania","444","null","Building material and garden equipment and supplies dealers","2017","2189","3168","12886105","1492989","349910","49809","Less than 10%","Less than 10%","Less than 10%"
"0400000US42","null","Pennsylvania","445","null","Food and beverage stores","2017","4910","6741","30342187","3073953","761410","148289","10% to less than 20%","20% to less than 30%","20% to less than 30%"
"0400000US42","null","Pennsylvania","446","null","Health and personal care stores","2017","1704","4140","14467856","1503085","380830","46288","10% to less than 20%","20% to less than 30%","20% to less than 30%"
"0400000US42","null","Pennsylvania","447","null","Gasoline stations","2017","1952","3874","19687208","832692","200143","41656","10% to less than 20%","10% to less than 20%","Less than 10%"
"0400000US42","null","Pennsylvania","448","null","Clothing and clothing accessories stores","2017","2032","5237","8554567","1059132","254361","65071","20% to less than 30%","20% to less than 30%","30% to less than 40%"
"0400000US42","null","Pennsylvania","451","null","Sporting goods, hobby, musical instrument, and book stores","2017","1211","1807","2975282","357253","84418","20798","10% to less than 20%","10% to less than 20%","10% to less than 20%"
"0400000US42","null","Pennsylvania","452","null","General merchandise stores","2017","374","2324","23768701","2305623","579527","104995","Less than 10%","10% to less than 20%","20% to less than 30%"
"0400000US42","null","Pennsylvania","453","null","Miscellaneous store retailers","2017","3219","4448","3918523","597260","139681","31888","10% to less than 20%","10% to less than 20%","10% to less than 20%"
"0400000US42","null","Pennsylvania","454","null","Nonstore retailers","2017","2588","2865","65736762","1862889","445910","40746","Less than 10%","30% to less than 40%","20% to less than 30%"
"0400000US42","null","Pennsylvania","4411","null","Automobile dealers","2017","1989","2207","41091712","2726285","651100","60295","10% to less than 20%","10% to less than 20%","10% to less than 20%"
"0400000US42","null","Pennsylvania","4412","null","Other motor vehicle dealers","2017","425","445","1782933","176314","36650","4343","Less than 10%","Less than 10%","Less than 10%"
"0400000US42","null","Pennsylvania","4413","null","Automotive parts, accessories, and tire stores","2017","1048","2144","3115733","547697","138190","19427","20% to less than 30%","20% to less than 30%","40% to less than 50%"
"0400000US42","null","Pennsylvania","4421","null","Furniture stores","2017","558","929","2069357","260167","62736","7461","Less than 10%","Less than 10%","Less than 10%"
"0400000US42","null","Pennsylvania","4422","null","Home furnishings stores","2017","697","1013","1770105","236303","56008","9509","20% to less than 30%","20% to less than 30%","40% to less than 50%"
